stream,link
0,"(1, 0)"
0,"(0, 4)"
0,"(4, 5)"
1,"(2, 0)"
1,"(0, 4)"
1,"(4, 6)"
2,"(3, 0)"
2,"(0, 4)"
2,"(4, 7)"
