stream,link
0,"(1, 0)"
0,"(0, 4)"
0,"(4, 5)"
1,"(2, 0)"
1,"(0, 4)"
1,"(4, 6)"
2,"(3, 0)"
2,"(0, 4)"
2,"(4, 7)"
3,"(1, 0)"
3,"(0, 4)"
3,"(4, 6)"
4,"(2, 0)"
4,"(0, 4)"
4,"(4, 7)"
5,"(3, 0)"
5,"(0, 4)"
5,"(4, 5)"
6,"(1, 0)"
6,"(0, 4)"
6,"(4, 7)"
7,"(2, 0)"
7,"(0, 4)"
7,"(4, 5)"
8,"(3, 0)"
8,"(0, 4)"
8,"(4, 6)"
